阶段：2024-07-01 至 2024-09-29
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2024-09-30 至 2024-12-29
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2024-12-30 至 2025-03-30
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2025-03-31 至 2025-06-29
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2025-06-30 至 2025-09-28
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

阶段：2025-09-29 至 2025-12-28
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2025-12-29 至 2026-03-29
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2026-03-30 至 2026-06-28
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2026-06-29 至 2026-09-27
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2026-09-28 至 2026-12-27
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

阶段：2026-12-28 至 2027-03-28
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2027-03-29 至 2027-06-27
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2027-06-28 至 2027-09-26
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2027-09-27 至 2027-12-26
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2027-12-27 至 2028-03-26
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

阶段：2028-03-27 至 2028-06-25
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2028-06-26 至 2028-09-24
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2028-09-25 至 2028-12-24
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2028-12-25 至 2029-03-25
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2029-03-26 至 2029-06-24
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

阶段：2029-06-25 至 2029-09-23
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2029-09-24 至 2029-12-23
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2029-12-24 至 2030-03-24
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2030-03-25 至 2030-06-23
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2030-06-24 至 2030-09-22
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

阶段：2030-09-23 至 2030-12-22
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2030-12-23 至 2031-03-23
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2031-03-24 至 2031-06-22
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2031-06-23 至 2031-09-21
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2031-09-22 至 2031-12-21
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

阶段：2031-12-22 至 2032-03-21
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2032-03-22 至 2032-06-20
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2032-06-21 至 2032-09-19
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2032-09-20 至 2032-12-19
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2032-12-20 至 2033-03-20
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

阶段：2033-03-21 至 2033-06-19
  周一: 限行尾号 4,9
  周二: 限行尾号 5,0
  周三: 限行尾号 1,6
  周四: 限行尾号 2,7
  周五: 限行尾号 3,8

阶段：2033-06-20 至 2033-09-18
  周一: 限行尾号 3,8
  周二: 限行尾号 4,9
  周三: 限行尾号 5,0
  周四: 限行尾号 1,6
  周五: 限行尾号 2,7

阶段：2033-09-19 至 2033-12-18
  周一: 限行尾号 2,7
  周二: 限行尾号 3,8
  周三: 限行尾号 4,9
  周四: 限行尾号 5,0
  周五: 限行尾号 1,6

阶段：2033-12-19 至 2034-03-19
  周一: 限行尾号 1,6
  周二: 限行尾号 2,7
  周三: 限行尾号 3,8
  周四: 限行尾号 4,9
  周五: 限行尾号 5,0

阶段：2034-03-20 至 2034-06-18
  周一: 限行尾号 5,0
  周二: 限行尾号 1,6
  周三: 限行尾号 2,7
  周四: 限行尾号 3,8
  周五: 限行尾号 4,9

